,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
237,MISSOULA,MSO,MSO,KMSO,Missoula International Airport,P-N,381582.0,MONTANA
238,SIDNEY,SDY,SDY,KSDY,Sidney–Richland Municipal Airport,P-N,8065.0,MONTANA
239,WEST YELLOWSTONE,WYS,WYS,KWYS,Yellowstone Airport,P-N,8525.0,MONTANA
241,GRAND ISLAND,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,68879.0,NEBRASKA
242,LINCOLN,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,162876.0,NEBRASKA
243,NORTH PLATTE,LBF,LBF,KLBF,North Platte Regional Airport (Lee Bird Field),P-N,4075.0,NEBRASKA
244,OMAHA,OMA,OMA,KOMA,Eppley Airfield,P-M,2127387.0,NEBRASKA
245,SCOTTSBLUFF,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,4262.0,NEBRASKA
247,BOULDER CITY,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,211615.0,NEVADA
248,ELKO,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,14893.0,NEVADA
249,LAS VEGAS,LAS,LAS,KLAS,McCarran International Airport,P-L,22833267.0,NEVADA
250,RENO,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,1771864.0,NEVADA
252,LEBANON,LEB,LEB,KLEB,Lebanon Municipal Airport,P-N,10245.0,NEW HAMPSHIRE
253,MANCHESTER,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,995403.0,NEW HAMPSHIRE
254,PORTSMOUTH,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,73247.0,NEW HAMPSHIRE
256,ATLANTIC CITY,ACY,ACY,KACY,Atlantic City International Airport,P-S,589091.0,NEW JERSEY
257,NEW YORK / NEWARK,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,19923009.0,NEW JERSEY
258,TRENTON,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,278436.0,NEW JERSEY
260,ALBUQUERQUE,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,2341719.0,NEW MEXICO
261,HOBBS,HOB,HOB,KHOB,Lea County Regional Airport,P-N,14707.0,NEW MEXICO
262,ROSWELL,ROW,ROW,KROW,Roswell International Air Center,P-N,44378.0,NEW MEXICO
263,SANTA FE,SAF,SAF,KSAF,Santa Fe Regional Airport,P-N,71252.0,NEW MEXICO
265,ALBANY,ALB,ALB,KALB,Albany International Airport,P-S,1393666.0,NEW YORK
266,BINGHAMTON,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,33425.0,NEW YORK
267,BUFFALO,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,2348512.0,NEW YORK
268,ELMIRA,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,126472.0,NEW YORK
269,ISLIP,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,648593.0,NEW YORK
270,ITHACA,ITH,ITH,KITH,Ithaca Tompkins International Airport,P-N,97212.0,NEW YORK
271,NEW YORK,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,29533154.0,NEW YORK
272,NEW YORK,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,14614802.0,NEW YORK
273,NEWBURGH,SWF,SWF,KSWF,Stewart International Airport,P-N,228640.0,NEW YORK
274,NIAGARA FALLS,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,142605.0,NEW YORK
275,OGDENSBURG,OGS,OGS,KOGS,Ogdensburg International Airport,P-N,10281.0,NEW YORK
